item,y1,y2,y3,y4
M (natural mortality),0.075,0.075,0.075,0.075
Tier,3a,3a,3a,3a
Projected total (age 2+) biomass (t),650832,634907,636129,621249
Projected female spawning biomas (t),216635,210257,210795,205713
B100%,331917,331917,331917,331917
B40%,132767,132767,132767,132767
B35%,116171,116171,116171,116171
FOFL,0.12,0.12,0.12,0.12
maxFABC,0.1,0.1,0.1,0.1
FABC,0.1,0.1,0.1,0.1
OFL (t),45580,44196,44302,43117
maxABC (t),38268,37104,37193,36196
ABC (t),38268,37104,37193,36196
blank,NA,NA,NA,NA
Status,2019,2020,2020,2021
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
